# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       32.484      174.090
       1.013      170.700     1146.750     1733.980
       2.026       12.800     1146.750     1733.980
       3.039        0.000     1146.750     1733.980
       4.052       14.800     1149.691     1770.383
       5.068      100.100     1156.910     1770.383
       6.088       99.800     1166.191     1770.383
       7.110      100.700     1185.270     1770.383
       8.133       99.700     1185.270     1770.383
       9.156       99.700     1185.270     1770.383
      10.180       99.700     1185.270     1770.383
      11.203      100.600     1147.375     1694.086
      12.227       98.700     1147.375     1694.086
      13.250      100.600     1147.375     1694.086
      14.274       99.700     1147.375     1694.086
      15.297      100.600     1147.375     1694.086
      16.321       99.600     1147.375     1694.086
