# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        4.715    96527.172
       1.013       16.800      121.762    96527.172
       2.026       15.800      238.035    96527.172
       3.039       15.800      344.512    96527.172
       4.054       14.700      451.504    96527.172
       5.071       13.700      555.918    96527.172
       6.090       13.700      657.238    96527.172
       8.294       15.000      895.715    96527.172
       9.318       15.600     1008.121    96527.172
      10.342       15.600     1124.395    96527.172
      11.366       12.700     1216.434    96527.172
      13.641       14.100     1446.660    96527.172
      14.665       15.600     1561.129    96527.172
      15.689       15.600     1678.949    96527.172
      16.713       15.600     1789.293    96527.172
      17.737       13.700     1893.965    96527.172
      19.255       50.700     2611.199    96527.172
      20.279       16.600     2716.129    96527.172
      21.303       19.500     2834.207    96527.172
      22.327       19.500     2952.801    96527.172
      23.351       19.500     3069.332    96527.172
      24.375       16.600     3173.746    96527.172
      25.400       17.600     3277.902    96527.172
      26.424       16.600     3382.574    96527.172
      27.448       18.600     3496.785    96527.172
      28.472       19.500     3614.863    96527.172
      29.496       19.500     3732.684    96527.172
      30.520       17.600     3845.090    96527.172
      32.049       15.700     3986.887    96527.172
      33.073       17.600     4092.074    96527.172
      34.097       17.600     4201.129    96527.172
      35.121       19.500     4319.465    96527.172
      36.814       42.500     4901.605    96527.172
      37.838       99.600     5058.355    96527.172
      38.862       99.600     5072.793    96527.172
      39.886      100.600     5077.434    96527.172
      40.911       99.600     5101.410    96527.172
      41.935       99.600     5115.590    96527.172
      42.959      100.600     5115.590    96527.172
      43.983       99.600     5116.621    96527.172
      45.007      100.600     5144.207    96527.172
      46.031       99.600     5166.379    96527.172
      47.056      100.600     5191.902    96527.172
      48.080       99.600     5191.902    96527.172
      49.104      100.600     5191.902    96527.172
      50.128       99.600     5191.902    96527.172
      51.152      100.600     5191.902    96527.172
      52.176       99.600     5191.902    96527.172
      53.201       99.600     5215.879    96527.172
      54.225      100.600     5239.598    96527.172
      55.249       99.600     5249.137    96527.172
      56.273      100.600     5281.363    96527.172
      57.298       99.600     5299.152    96527.172
      58.321       99.600     5306.371    96527.172
      59.346      100.600     5344.527    96527.172
      60.370      100.600     5344.527    96527.172
      61.394       99.600     5344.527    96527.172
      62.418      100.600     5344.527    96527.172
      63.442       99.600     5344.527    96527.172
      64.466       99.600     5344.527    96527.172
      65.491      100.600     5344.527    96527.172
      66.515       99.600     5344.527    96527.172
      67.539       99.600     5344.527    96527.172
      68.563      100.600     5344.527    96527.172
      69.587       99.600     5344.527    96527.172
      70.612      100.600     5344.527    96527.172
      71.636       99.600     5359.480    96527.172
      72.660       99.600     5375.723    96527.172
      73.684       99.600     5382.684    96527.172
      74.708      100.600     5404.082    96527.172
      75.732       99.600     5420.840    96527.172
      76.757       99.600     5420.840    96527.172
      77.781      100.600     5420.840    96527.172
      78.828      100.200     5447.652    96527.172
      79.852       99.600     5468.535    96527.172
      80.876       99.600     5497.152    96527.172
      81.901       99.600     5497.152    96527.172
      82.925      100.500     5497.152    96527.172
      83.959       99.600     5497.152    96527.172
      84.984      100.600     5497.152    96527.172
      86.008       99.600     5497.152    96527.172
      87.032      100.600     5518.551    96527.172
      88.056       99.600     5543.043    96527.172
      89.080      100.600     5554.387    96527.172
      90.104      100.600     5583.004    96527.172
      91.129       99.600     5602.082    96527.172
      92.153      100.600     5611.621    96527.172
      93.177       99.600     5649.777    96527.172
      94.201       99.600     5649.777    96527.172
      95.226       99.600     5649.777    96527.172
      96.250      100.500     5649.777    96527.172
      97.274       99.600     5649.777    96527.172
      98.299      100.600     5649.777    96527.172
      99.323       99.600     5649.777    96527.172
     100.347       99.600     5649.777    96527.172
     101.372      100.500     5649.777    96527.172
     102.396       99.600     5649.777    96527.172
     103.420      100.600     5649.777    96527.172
     104.444       99.600     5649.777    96527.172
     105.469       99.600     5649.777    96527.172
     106.493      100.600     5649.777    96527.172
     107.517       99.600     5649.777    96527.172
     108.541      100.600     5649.777    96527.172
     109.565       99.600     5649.777    96527.172
     110.589       98.600     5649.777    96527.172
     111.613       99.600     5649.777    96527.172
     112.637       99.600     5649.777    96527.172
     113.661      100.600     5649.777    96527.172
     114.685      100.600     5649.777    96527.172
     115.709       92.800     5649.777    96527.172
     116.733      100.600     5649.777    96527.172
     117.757       55.700        4.070       11.520
     118.781        0.000        4.070       11.520
     119.804        1.000        4.070       11.520
     120.827        1.000        4.070       11.520
     121.850        0.000        4.070       11.520
     122.873        1.000        4.070       11.520
     123.896        0.000        4.070       11.520
     124.919        0.000        4.070       11.520
     125.942        1.000        4.070       11.520
     126.965        0.000        4.070       11.520
     127.987        0.000        4.070       11.520
     129.010        1.000        4.070       11.520
     130.033        0.000        4.070       11.520
     131.056        1.000        4.070       11.520
     132.079        0.000        4.070       11.520
     133.102        0.000        4.070       11.520
     134.125        1.000        4.070       11.520
     135.148        0.000        4.070       11.520
     136.171        1.000        4.070       11.520
     137.194        0.000        4.070       11.520
     138.217        0.000        4.070       11.520
     139.240        1.000        4.070       11.520
     140.263        0.000        4.070       11.520
     141.286        0.000        4.070       11.520
     142.417        0.000        4.070       11.520
     143.440        1.000        4.070       11.520
     144.463        0.000        4.070       11.520
     145.486        1.000        4.070       11.520
     146.509        0.000        4.070       11.520
     147.915        0.700        4.070       11.520
     148.937        0.000        4.070       11.520
