# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       29.844      139.496
       1.013      124.300     1146.688     1445.965
       2.026       50.400     1146.688     1445.965
       3.038        0.000     1146.688     1445.965
       4.052       12.800     1149.332     1514.383
       5.069      100.100     1156.809     1514.383
       6.088       99.800     1166.348     1514.383
       7.110       99.700     1185.168     1514.383
       8.133      100.600     1185.168     1514.383
       9.157       99.700     1185.168     1514.383
      10.180      100.600     1185.168     1514.383
      11.204       99.700     1147.277     1438.086
      12.227       99.700     1147.277     1438.086
      13.250       99.700     1147.277     1438.086
      14.274      100.600     1147.277     1438.086
      15.297       99.700     1147.277     1438.086
      16.321      100.600     1147.277     1438.086
      17.345       99.600     1147.277     1438.086
