# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       36.770      911.910
       1.014      381.800     2398.332     2959.910
       2.027      381.800     4786.449     5263.910
       3.041      381.900     7199.035     7503.910
       4.057      313.300     9157.121     9359.910
       5.075       20.600     9157.121     9359.910
       6.095       20.600     9157.121     9359.910
       7.628       20.200     9157.121     9359.910
       8.653       22.400     9157.121     9359.910
       9.677       22.400     9157.121     9359.910
      10.702       22.400     9157.121     9359.910
      11.727       22.400     9157.121     9359.910
      13.667       21.700     9157.121     9359.910
      14.692       20.500     9157.121     9359.910
      15.717       19.500     9157.121     9359.910
      16.742       22.400     9157.121     9359.910
      17.767       18.500     9157.121     9359.910
      18.791       19.500     9157.121     9359.910
      19.816       20.500     9157.121     9359.910
      20.841       20.500     9157.121     9359.910
      21.866       21.500     9157.121     9359.910
      22.891       22.400     9157.121     9359.910
      23.916       22.400     9157.121     9359.910
      27.227       23.900     9157.379     9359.910
      28.252       24.400     9157.379     9359.910
      29.277       28.300     9157.379     9359.910
      31.575       25.200     9157.379     9359.910
      32.600       26.300     9157.383     9359.910
      33.625       25.400     9157.383     9359.910
      34.650       31.200     9157.383     9359.910
      37.455       27.800     9157.641     9359.910
      38.480       30.200     9157.641     9359.910
      39.506       24.400     9157.641     9359.910
      40.530       30.200     9157.641     9359.910
      43.486       26.100     9157.641     9359.910
      44.511       23.400     9157.641     9359.910
      45.536       23.400     9157.641     9359.910
      46.561       26.300     9157.641     9359.910
      47.586       21.500     9157.641     9359.910
      48.611       22.400     9157.641     9359.910
      49.636       25.400     9157.641     9359.910
      50.661       23.400     9157.641     9359.910
      51.686       23.400     9157.641     9359.910
      52.712       26.300     9157.641     9359.910
      53.997       21.000     9157.641     9359.910
      55.022       24.400     9157.641     9359.910
      56.047       23.400     9157.641     9359.910
      57.072       21.500     9157.641     9359.910
      58.097       27.300     9157.641     9359.910
      60.536       21.700     9157.641     9359.910
      61.561       22.400     9157.641     9359.910
      62.586       23.400     9157.641     9359.910
      63.611       21.500     9157.641     9359.910
      65.650       22.600     9157.641     9359.910
      66.675       22.400     9157.641     9359.910
      67.700       24.400     9157.641     9359.910
      68.725       58.500     9162.438     9512.500
      69.750      122.900     9167.242     9512.500
      73.372      121.800     9195.852     9512.500
