# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       43.918    92517.930
       1.015      124.200     1271.094    92605.941
       2.030      400.300     1339.129    92605.941
       3.044      400.100     1377.316    92605.941
       4.059      398.700     1415.598    92605.941
       5.074      244.400     1587.832    92605.941
       6.093      168.400     1724.219    92605.941
       7.114      150.400     1802.336    92605.941
       8.139      122.100     1873.242    92605.941
       9.163       18.600        4.273       99.531
      10.187        2.900        4.273       99.531
      11.210        2.000        4.273       99.531
      12.232        2.900        4.273       99.531
      13.255        2.000        4.273       99.531
      14.277        2.000        4.273       99.531
      15.300        2.000        4.273       99.531
      16.323        2.000        4.273       99.531
      17.345        2.900        4.273       99.531
      18.368        1.000        4.273       99.531
      19.391        2.900        4.273       99.531
