# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       40.227    96527.172
       1.013      326.500     1300.621    97095.230
       2.027     1197.300     1759.012    97159.230
       3.040      325.200     2131.809    97159.230
       4.055      188.900     2252.105    97159.230
       5.072      178.600     2375.445    97159.230
       6.091      177.200     1271.547    97071.188
       7.112       10.700        4.238      555.535
       8.136        2.900        4.238      555.535
       9.159        1.000        4.238      555.535
      10.183        2.000        4.238      555.535
      11.206        2.000        4.238      555.535
      12.229        2.000        4.238      555.535
      13.252        2.000        4.238      555.535
      14.275        2.000        4.238      555.535
      15.298        2.000        4.238      555.535
      16.321        2.000        4.238      555.535
      17.345        1.000        4.238      555.535
      18.368        2.000        4.238      555.535
      19.391        2.000        4.238      555.535
      20.414        2.000        4.238      555.535
      21.437        1.000        4.238      555.535
