# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       33.254     2352.035
       1.017      482.700      849.230     2352.035
       2.034      487.200     1663.203     3504.035
       3.050      484.700     2477.375     3888.035
       4.067      476.600     3288.711     4592.035
       5.087      480.700     4099.016     5424.035
       6.106      479.800     4909.578     5808.035
       7.128      484.700     5717.047     6960.035
       8.155      477.700     6530.961     7344.035
       9.185      489.300     7338.945     8496.035
      10.208      486.200     8155.953     8880.035
      11.237      488.300     8970.125    10032.035
      12.267     2116.400     9224.492    10617.008
      13.287     2396.200     9242.156    10401.238
      14.309     2399.500     9383.477    10658.070
      15.329     2398.600     9313.242    10365.168
      16.349     2404.900     9180.680    10161.699
      17.371     2400.400     8877.992     9651.363
      18.390     2083.300     8921.195     9741.660
      19.412     1922.200     9125.887     9933.660
      20.435     1465.500     6373.781     7565.754
      21.459      979.000     4899.863     6093.754
      22.484      899.100     4861.695     5901.754
      23.508      574.700     2573.594     3925.727
      24.533      221.700     1429.828     2853.801
      25.557      100.500     1429.828     2853.801
      26.582      100.600     1429.828     2853.801
      27.606       99.600     1429.828     2853.801
      28.630       99.600     1429.828     2853.801
      29.654       99.600     1429.828     2853.801
      30.678       85.000     1429.828     2853.801
      31.702       99.600     1429.828     2853.801
      32.727      100.600     1429.828     2853.801
      33.751       99.600     1429.828     2853.801
      34.765      100.700     1429.828     2853.801
      35.778       88.800     1430.043     2853.801
      37.995      100.200     1430.043     2853.801
      39.007       99.700     1430.043     2853.801
      40.030       99.700     1430.043     2853.801
      41.053       95.800     1430.043     2853.801
      42.076      100.700     1430.043     2853.801
      43.099       99.700     1430.043     2853.801
      44.122       99.700     1430.043     2853.801
      45.145      100.700     1430.043     2853.801
      46.168       93.800     1430.043     2853.801
      47.192      100.600     1430.043     2853.801
      48.215       99.700     1430.043     2853.801
      49.228      100.700     1430.043     2853.801
      50.241       99.700     1430.043     2853.801
      51.358      100.300     1430.043     2853.801
      52.381       98.600     1430.043     2853.801
      53.395      100.700     1430.043     2853.801
      54.418       99.800     1430.043     2853.801
      55.440      100.700     1430.043     2853.801
      56.463       97.800     1430.043     2853.801
      57.486       99.700     1430.043     2853.801
      58.508      100.100     1430.043     2853.801
      59.528       99.700     1430.043     2853.801
      60.551      100.700     1430.043     2853.801
      61.574       91.900     1430.043     2853.801
      62.597       99.900     1430.043     2853.801
      63.618      100.700     1430.043     2853.801
      64.641      100.000     1430.043     2853.801
      65.661       98.700     1430.043     2853.801
      66.684      100.700     1430.043     2853.801
      67.707       99.700     1430.043     2853.801
      68.730      100.700     1430.043     2853.801
      69.753       98.700     1430.043     2853.801
      70.776      100.700     1430.043     2853.801
      71.799      100.700     1430.043     2853.801
      72.985       99.500     1430.043     2853.801
      74.008       99.700     1430.043     2853.801
      75.031      100.700     1430.043     2853.801
      76.054       99.700     1430.043     2853.801
      77.077      100.700     1430.043     2853.801
      78.100       98.800     1430.043     2853.801
      79.123      100.700     1430.043     2853.801
      80.146       99.700     1430.043     2853.801
      81.169       99.700     1430.043     2853.801
      82.193      100.700     1430.043     2853.801
      83.206       99.700     1430.043     2853.801
      84.219       99.700     1430.043     2853.801
      85.232      100.700     1430.043     2853.801
      86.255       99.700     1430.043     2853.801
      87.269       96.800     1430.043     2853.801
      88.281       98.800     1430.043     2853.801
      89.292      100.800     1430.043     2853.801
      90.304       99.700     1430.043     2853.801
      91.327       99.700     1430.043     2853.801
      92.340       99.800     1430.043     2853.801
      93.352      100.800     1430.043     2853.801
      94.364       99.800     1430.043     2853.801
      95.376      100.800     1430.043     2853.801
      96.388       98.900     1430.043     2853.801
      97.400       99.800     1430.043     2853.801
      98.412      100.800     1430.043     2853.801
      99.423       99.800     1430.043     2853.801
     100.435       99.800     1430.043     2853.801
     101.447       99.800     1430.043     2853.801
     102.497      101.000     1430.043     2853.801
     103.509       99.800     1430.043     2853.801
     104.521       99.800     1430.043     2853.801
     105.533       99.800     1430.043     2853.801
     106.545       99.800     1430.043     2853.801
     107.557       99.800     1430.043     2853.801
     108.569      100.800     1430.043     2853.801
     109.581       99.800     1430.043     2853.801
     110.593       99.800     1430.043     2853.801
     111.605       99.800     1430.043     2853.801
     112.617       99.700     1430.043     2853.801
     113.640       99.700     1430.043     2853.801
     114.653      100.700     1430.043     2853.801
     115.666       99.700     1430.043     2853.801
     116.679       99.700     1430.043     2853.801
     117.692      100.700     1430.043     2853.801
     118.715       99.800     1430.043     2853.801
     119.727       99.800     1430.043     2853.801
     120.739       99.800     1430.043     2853.801
     121.751       88.900     1430.043     2853.801
     122.763      100.800     1430.043     2853.801
     123.775       99.800     1430.043     2853.801
     124.787       99.800     1430.043     2853.801
