# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000      158.391     1775.973
       1.021      550.700     1090.699     2287.973
       2.043      505.100     1979.379     2799.973
       3.069      481.600     2846.145     3823.973
       4.090      475.500     3688.676     4847.973
       5.115      480.300     4540.488     5871.973
       6.139      483.500     5389.207     5935.973
       7.171      481.600     6238.184     6895.973
       8.203      488.300     7096.414     7919.973
       9.235      493.000     7967.820     8943.973
      10.267      488.900     8831.492     9839.973
      11.299      188.400     9155.562     9967.973
      12.323       23.400     9155.562     9967.973
      13.347       22.500     9155.562     9967.973
      14.372       17.600     9155.562     9967.973
      15.396       20.500     9155.562     9967.973
      16.421       22.500     9155.562     9967.973
      17.445       19.500     9155.562     9967.973
      18.469       19.500     9155.562     9967.973
      19.988       21.700     9155.562     9967.973
      21.012       23.400     9155.562     9967.973
      22.037       20.500     9155.562     9967.973
      23.061       21.500     9155.562     9967.973
      24.086       24.400     9155.562     9967.973
      26.202       20.800     9155.562     9967.973
      27.226       22.400     9155.562     9967.973
      28.251       22.500     9155.562     9967.973
      29.275       22.400     9155.562     9967.973
      30.303       19.700     9155.562     9967.973
      34.365       21.900     9155.699     9967.973
      35.389       18.600     9155.699     9967.973
      36.413       22.500     9155.699     9967.973
      37.438       21.500     9155.699     9967.973
      40.487       21.600     9155.977     9967.973
      41.511       20.400     9155.977     9967.973
      42.538       22.400     9156.121     9967.973
      46.359       94.200     9175.477    10006.121
      47.384      122.000     9156.820     9967.973
      48.408      123.000     9157.098     9967.973
      50.933       74.500     9119.086     9929.824
      51.957       78.100     9157.340     9929.824
      52.982       20.500     9157.340     9929.824
      54.006       29.300     9157.340     9929.824
      55.030       26.400     9157.340     9929.824
      58.871       26.600     9157.770     9929.824
      59.895       21.500     9157.770     9929.824
      60.919       23.700     9157.770     9929.824
      61.934       26.400     9157.770     9929.824
      69.041       24.900     9157.770     9929.824
      70.065       27.300     9157.770     9929.824
      71.089       26.400     9157.770     9929.824
      74.313       65.100     9167.309     9967.973
      75.337      154.300     9179.230    10006.121
      76.362      223.500     9167.574    10006.121
      77.386      222.600     9176.844     9967.973
      81.559      286.800     9093.879     9967.973
      82.583      542.400     9157.797     9967.973
      83.598      523.900     9148.258     9967.973
      84.623      601.100     9211.477    10006.121
      88.132      318.600     9157.801     9815.379
      89.157      524.100     9043.355     9700.934
      90.182      524.900     8967.059     9624.637
      91.207      334.800     9118.918     9624.637
      94.687       29.900     9157.066     9624.637
      95.712       50.700     9159.453     9662.785
      96.737      126.600     9166.605     9662.785
      97.763      222.700     9185.680     9700.934
      98.787      221.500     9205.965     9700.934
     103.733      186.600     9146.988     9548.340
     104.757       23.400     9157.559     9548.340
     105.781       17.600     9157.559     9548.340
     106.806       23.400     9157.559     9548.340
     112.737      104.400     9195.723     9624.637
     113.762      244.000     9179.035     9624.637
     114.786      326.000     9167.113     9586.488
     115.811      321.100     9176.816     9586.488
     116.835      317.200     9104.305     9548.340
     119.259      328.000     9204.629     9624.637
     120.284      417.800     9176.375     9586.488
     121.299      422.600     9138.227     9510.191
     122.323      358.300     9119.145     9433.895
     125.723      184.400     9080.910     9395.746
     126.748      124.400     9119.000     9395.746
     127.776       46.900     9156.895     9395.746
     128.801       24.400     9156.895     9395.746
     129.825      103.500     9165.180     9433.895
     130.850      124.900     9176.223     9433.895
     131.874      124.000     9176.281     9433.895
     132.898       85.900     9157.508     9433.895
     136.352      174.300     9167.000     9433.895
     137.376      323.100     9138.641     9395.746
     138.401      322.100     9138.641     9395.746
     142.391      111.300     9157.602     9357.598
     143.415      122.000     9157.602     9357.598
     144.440      124.900     9125.734     9357.598
     148.521       28.200     9157.527     9357.598
     149.546       18.600     9157.527     9357.598
     150.570       18.500     9157.527     9357.598
     157.517       99.500     9162.488     9395.746
     158.542      226.500     9176.816     9395.746
     159.566      227.500     9176.875     9395.746
     160.590      120.100     9157.879     9395.746
     163.706      156.600     9176.875     9395.746
     164.731      344.400     9172.109     9433.895
     165.753      500.900     9191.184     9472.043
     166.773      450.400     9172.340     9472.043
     167.791      370.300     9165.617     9433.895
     169.711      343.100     9176.715     9395.746
     170.724      421.800     9176.715     9395.746
     171.739      424.200     9157.641     9357.598
     172.753      241.500     9052.434     9357.598
     177.266       87.500     9159.637     9395.746
     178.280      120.100     9166.789     9395.746
     179.304      119.200     9176.430     9395.746
     180.319      124.900     9189.590     9395.746
     181.344      121.400     9157.477     9357.598
     186.404      154.000     9114.648     9395.746
     187.429      240.500     9176.398     9395.746
     191.302      355.800     9210.922     9433.895
     192.317      316.200     9157.465     9357.598
     193.342      229.600     9157.465     9357.598
     196.159      124.200     9129.504     9357.598
     197.183       42.400     9157.340     9357.598
     198.196       22.500     9157.340     9357.598
     199.221       21.700     9157.340     9357.598
     203.805       25.300     9157.340     9357.598
     204.819       26.600     9157.340     9357.598
     205.831       23.700     9157.340     9357.598
     206.844       25.600     9157.340     9357.598
     207.859       22.700     9157.340     9357.598
     212.859      198.700     9185.734     9433.895
     213.883      278.400     9176.414     9395.746
     218.956      110.600     9157.367     9357.598
     219.980      218.600     9157.367     9357.598
     226.952      108.600     9037.398     9357.598
     227.976      125.000     9037.398     9357.598
     229.000      127.900     9037.398     9357.598
     230.025      138.600     9042.953     9357.598
     231.049       46.900     9103.039     9357.598
     232.073       42.000     9157.371     9357.598
     233.098       25.400     9157.371     9357.598
     234.122       26.400     9157.371     9357.598
     235.146       23.400     9157.371     9357.598
     253.940      102.600     9157.801     9357.598
     254.964       95.700     9162.570     9395.746
     255.988      215.700     9186.414     9433.895
     257.013      233.300     9195.840     9433.895
     258.037      196.200     9176.766     9395.746
     265.220      342.200     9176.875     9395.746
     266.244       97.600     9157.801     9357.598
     267.269       43.000     9157.801     9357.598
     268.293      376.800     9167.340     9395.746
     269.317      198.100     9181.645     9433.895
     270.342      219.600     9195.949     9433.895
     271.367      170.900     9176.875     9395.746
     272.391       93.700     9157.801     9357.598
     273.415      181.700     9176.875     9433.895
     274.439      217.700     9195.949     9433.895
     275.463      253.800     9200.719     9472.043
     276.488      208.900     9167.246     9395.746
     277.512      100.600     9176.645     9395.746
     278.536       82.000     9157.801     9357.598
     279.560        1.000     9157.801     9357.598
     280.583        2.000     9157.801     9357.598
     281.606        1.000     9157.801     9357.598
     282.630        2.000     9157.801     9357.598
     283.653        3.900     9157.801     9357.598
     284.676        6.800     9157.801     9357.598
     285.699        8.800     9157.801     9357.598
     286.723       13.700     9157.801     9357.598
     287.746       28.300     9157.801     9357.598
     288.769       38.100     9157.801     9357.598
     289.792       40.100     9157.801     9357.598
     290.815       40.100     9157.801     9357.598
     291.838       85.000     9157.801     9357.598
     292.861      191.600     9157.801     9357.598
     293.885      298.100     9138.223     9357.598
     294.908      204.200     9157.801     9357.598
     295.931      104.300     9123.262     9357.598
     296.958       87.900     9157.547     9357.598
     297.981       64.500     9157.547     9357.598
     299.004       53.800     9157.547     9357.598
     300.027       95.800     9157.801     9357.598
     301.050      126.100     9157.801     9357.598
     303.085       92.800     9157.750     9357.598
     304.109       34.200     9157.801     9357.598
     305.132       32.300     9157.801     9357.598
     306.155       23.500     9157.820     9395.746
     307.675      197.900     9176.879     9433.895
     308.698      215.100     9195.949     9433.895
     310.908      157.400     9162.570     9395.746
     311.932      107.500     9173.145     9395.746
     312.955      109.400     9176.875     9395.746
     313.979      107.500     9157.801     9357.598
     315.002       33.200     9157.801     9357.598
     316.025       39.100     9157.801     9357.598
     317.049       47.900     9157.801     9357.598
     318.305       62.900     9157.801     9357.598
     319.328       64.500     9157.801     9357.598
     320.352       69.400     9157.801     9357.598
     321.375       61.600     9157.801     9357.598
     322.399       60.600     9157.801     9357.598
     323.422       58.600     9157.801     9357.598
     324.445       55.700     9157.801     9357.598
     325.469       48.900     9157.801     9357.598
     326.492       43.000     9157.801     9357.598
     327.515       45.900     9157.801     9357.598
     328.539       46.900     9157.801     9357.598
