# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       41.934    96027.578
       1.014      178.500     1281.469    96275.605
       2.027      798.800     1390.383    96275.605
       3.041      534.800     1725.109    96339.605
       4.057      229.100     1910.422    96339.605
       5.074      195.200     2028.824    96339.605
       6.093      159.600     2125.824    96339.605
       7.115      124.900     2173.520    96339.605
       8.139       35.100        4.445      299.535
       9.164        2.000        4.445      299.535
      10.187        2.900        4.445      299.535
      11.210        2.000        4.445      299.535
      12.234        2.900        4.445      299.535
      13.257        2.000        4.445      299.535
      14.280        2.900        4.445      299.535
      15.303        2.000        4.445      299.535
      16.326        2.900        4.445      299.535
      17.350        2.900        4.445      299.535
      18.373        2.000        4.445      299.535
