# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       33.109      238.508
       1.013      222.700     1146.863     2310.012
       2.028        0.000     1146.863     2310.012
       3.041        0.000     1146.863     2310.012
       4.055       14.700     1149.812     2282.383
       5.072      100.000     1157.031     2282.383
       6.092      100.800     1166.312     2282.383
       7.114       99.600     1185.391     2282.383
       8.138      100.600     1185.391     2282.383
       9.162       99.600     1185.391     2282.383
      10.186       99.600     1185.391     2282.383
      11.210      100.600     1147.496     2206.086
      12.234       99.600     1147.496     2206.086
      13.258       99.600     1147.496     2206.086
      14.282      100.600     1147.496     2206.086
      15.306       99.600     1147.496     2206.086
      16.330      100.600     1147.496     2206.086
