# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.007        0.000      168.477     1199.941
       1.019      741.600     2175.094     2927.941
       2.040      748.700     4131.117     4783.941
       3.062      747.900     6080.406     6703.941
       4.082      753.700     7802.594     8303.941
       5.103      561.600     9157.656     9391.941
       7.642       22.000     9157.656     9391.941
       8.665       18.700     9157.656     9391.941
       9.681       22.500     9157.656     9391.941
      10.704       21.500     9157.656     9391.941
      11.728       21.500     9157.656     9391.941
      14.047       21.600     9157.656     9391.941
      15.070       20.500     9157.656     9391.941
      16.094       23.500     9157.656     9391.941
      17.117       21.500     9157.656     9391.941
      21.827       26.300     9157.691     9391.941
      22.850       31.300     9157.691     9391.941
      23.874       39.100     9157.715     9391.941
      27.907       23.100     9157.723     9391.941
      28.930       20.500     9157.734     9391.941
      29.954       28.300     9157.734     9391.941
      30.977       22.500     9157.734     9391.941
      32.000       22.500     9157.742     9391.941
      33.023       28.300     9157.742     9391.941
      34.047       26.400     9157.742     9391.941
      35.070       26.400     9157.754     9391.941
      36.093       28.300     9157.754     9391.941
      37.753       30.100     9158.855     9468.238
      38.776      132.900     9167.293     9468.238
      39.800      130.000     9176.828     9468.238
      40.823      125.100     9176.828     9468.238
      41.846      127.000     9195.902     9468.238
      42.870      129.000     9195.902     9468.238
      47.589      126.900     9157.754     9391.941
      48.613      126.000     9157.754     9391.941
      50.696       83.500     9081.457     9315.645
      51.720      122.100     9081.457     9315.645
      52.744      184.600     9100.688     9468.238
      53.767      166.800     9171.504     9468.238
      54.798      122.100     9176.609     9468.238
      58.393      125.200     9195.684     9468.238
      59.417      127.000     9157.535     9391.941
      60.440      164.700     9160.754     9468.238
      62.932      225.100     9176.828     9468.238
      63.956      221.900     9119.539     9391.941
      64.970      230.800     9119.605     9391.941
      65.984      223.700     9119.605     9391.941
      67.012      187.300     9195.789     9468.238
      70.479       67.300     9157.641     9391.941
      71.503      124.100     9157.641     9391.941
      72.526      120.200     9157.641     9391.941
      73.549      122.100     9081.344     9315.645
      74.573      122.100     9081.344     9315.645
      75.597      126.000     9081.457     9315.645
      78.217       59.500     9157.703     9391.941
      79.240       23.500     9157.703     9391.941
      80.264       24.400     9157.703     9391.941
      81.287       19.500     9157.703     9391.941
     106.176      136.900     9195.902     9468.238
     107.199      216.900     9195.902     9468.238
     108.223      216.900     9202.273     9468.238
     109.246      219.800     9086.227     9391.941
     110.270      360.400     9101.727     9468.238
     113.358      504.800     9243.469     9697.129
     114.382      719.900     9274.242     9697.129
     115.405      719.900     9291.152     9697.129
     116.429      720.900     9195.781     9544.535
     117.453      720.800     9063.418     9391.941
     118.477      720.800     9014.664     9315.645
     119.500      717.900     9022.633     9315.645
     120.524      622.200     9032.074     9315.645
     121.548      451.300     9005.051     9239.348
     122.572      462.000     9004.887     9239.348
     124.945      343.400     8954.391     9315.645
     125.969      346.800     9013.945     9315.645
     126.993      320.300     9023.730     9315.645
     128.016      223.700     9100.020     9391.941
     129.040      159.200     9187.090     9468.238
     131.242      119.400     9195.504     9468.238
     132.266      118.200     9157.355     9391.941
     133.289      126.000     9157.406     9391.941
     134.313      125.100     9157.406     9391.941
     137.331       90.100     9081.355     9315.645
     138.354      123.100     9081.406     9315.645
     139.378      120.200     9095.387     9391.941
     140.401       58.600     9157.594     9391.941
     141.425       23.500     9157.645     9391.941
     146.452       20.100     9157.645     9391.941
     147.475       22.500     9157.645     9391.941
     148.498       21.500     9157.645     9391.941
     149.522       23.500     9157.645     9391.941
     152.208       21.600     9157.645     9391.941
     153.231       23.500     9157.645     9391.941
     154.255       19.600     9157.645     9391.941
     155.277       25.400     9157.645     9391.941
     161.778       22.800     9157.754     9391.941
     162.802       22.500     9157.754     9391.941
     163.825       22.500     9157.754     9391.941
     168.017       21.500     9157.754     9391.941
     169.040       18.600     9157.754     9391.941
     170.063       23.500     9157.754     9391.941
     171.087       27.400     9157.754     9391.941
     172.110       22.500     9157.754     9391.941
     186.583       76.600     9157.754     9391.941
     187.607      115.300     9157.754     9391.941
     188.630      115.300     9157.754     9391.941
     189.653      125.100     9081.457     9315.645
     190.677      168.100     9086.227     9391.941
     191.700      222.800     9101.129     9468.238
     195.546      281.900     9243.371     9620.832
     196.569      322.400     9253.074     9620.832
     197.593      377.100     9227.664     9620.832
     201.843      422.400     9119.605     9391.941
     202.866      432.800     9120.801     9468.238
     204.941      469.300     9105.250     9468.238
     205.965      522.700     9043.258     9391.941
     206.989      525.500     9062.332     9391.941
     208.013      491.400     9157.637     9468.238
     209.036      483.600     9162.406     9544.535
     210.339      413.600     9062.332     9391.941
     211.363      465.900     9138.453     9468.238
     212.387      429.800     9119.430     9391.941
     213.410      330.300     9195.852     9468.238
     214.434      230.600     9119.555     9391.941
     216.464      277.700     9081.457     9315.645
     217.488      247.100     9081.457     9315.645
     218.512      249.200     9126.453     9391.941
     219.535      238.400     9081.352     9315.645
     220.559      222.700     9005.055     9239.348
     223.034      183.500     9081.289     9315.645
     224.057       70.400     9157.535     9391.941
     225.080       21.500     9157.535     9391.941
     226.103       24.500     9157.535     9391.941
     227.126       24.400     9157.535     9391.941
     231.938       24.900     9157.535     9391.941
     232.961       23.500     9157.535     9391.941
     233.984       26.400     9157.535     9391.941
     236.502       23.400     9157.535     9391.941
     237.526       19.500     9157.535     9391.941
     238.549       19.500     9157.535     9391.941
     239.572       45.000     9157.535     9391.941
     240.595       29.300     9157.586     9391.941
     244.265       19.600     9157.648     9391.941
     245.288       19.500     9157.648     9391.941
     246.312       19.500     9157.648     9391.941
     247.335       88.900     9162.418     9468.238
     248.358      121.200     9167.188     9468.238
     251.945      126.000     9195.797     9468.238
     252.968      123.100     9195.902     9468.238
     253.991      131.000     9195.902     9468.238
     255.014       87.000     9157.754     9391.941
     256.513       26.700     9157.754     9391.941
