# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       43.105    96027.363
       1.014      291.900     1299.883    96595.422
       2.028     1242.100     1799.781    96659.422
       3.042      280.700     2080.684    96659.422
       4.057      240.900     2241.336    96659.422
       5.074      196.200     2384.145    96659.422
       6.094      148.800     2467.688    96659.422
       7.115       61.500        4.340      555.535
       8.140        2.000        4.340      555.535
       9.163        2.000        4.340      555.535
      10.186        2.000        4.340      555.535
      11.210        2.900        4.340      555.535
      12.233        2.900        4.340      555.535
      13.256        1.000        4.340      555.535
      14.280        2.000        4.340      555.535
      15.303        2.900        4.340      555.535
      16.326        2.000        4.340      555.535
      17.350        2.000        4.340      555.535
